=== 전체 ===
검증 일수: 167
MAPE: 9.4%
오차 5% 이내: 82일 (49.1%)
평균 편향: +2.7천

=== 월별 MAPE ===
2026-01: 21일, MAPE 11.0%, 5%이내 38.1%
2026-02: 17일, MAPE 15.2%, 5%이내 23.5%
2026-03: 21일, MAPE 9.4%, 5%이내 33.3%
2026-04: 22일, MAPE 3.9%, 5%이내 77.3%
2026-05: 18일, MAPE 8.2%, 5%이내 55.6%
2026-06: 21일, MAPE 7.4%, 5%이내 61.9%
2026-07: 22일, MAPE 5.1%, 5%이내 72.7%
2026-08: 20일, MAPE 17.2%, 5%이내 25.0%
2026-09: 5일, MAPE 9.5%, 5%이내 40.0%

=== 기간 유형별 MAPE ===
normal: 138일, MAPE 7.3%
no_parcel: 2일, MAPE 73.2%
special: 27일, MAPE 15.6%

=== method별 MAPE ===
ml_blend: 167일, MAPE 9.4%

=== 상위 오차 Top 30 ===
2026-08-18 (target 2026-08-18) | 예측 90.0 vs 실제 548.0 | 83.6% 과소예측 | ml_blend | no_parcel | 위탁배달원 하계 휴식기간
2026-02-13 (target 2026-02-13) | 예측 346.5 vs 실제 198.0 | 75.0% 과대예측 | ml_blend | special | 특별소통기간, 우체국쇼핑할인
2026-08-14 (target 2026-08-14) | 예측 213.2 vs 실제 131.0 | 62.7% 과대예측 | ml_blend | no_parcel | 위탁배달원 하계 휴식기간
2026-05-06 (target 2026-05-06) | 예측 307.7 vs 실제 533.0 | 42.3% 과소예측 | ml_blend | normal | -
2026-01-23 (target 2026-01-23) | 예측 342.9 vs 실제 248.0 | 38.3% 과대예측 | ml_blend | special | 우체국쇼핑할인
2026-08-13 (target 2026-08-13) | 예측 290.1 vs 실제 212.0 | 36.8% 과대예측 | ml_blend | normal | -
2026-02-19 (target 2026-02-19) | 예측 386.4 vs 실제 597.0 | 35.3% 과소예측 | ml_blend | special | 특별소통기간
2026-06-04 (target 2026-06-04) | 예측 315.6 vs 실제 456.0 | 30.8% 과소예측 | ml_blend | normal | -
2026-07-20 (target 2026-07-20) | 예측 398.1 vs 실제 574.0 | 30.6% 과소예측 | ml_blend | normal | -
2026-08-31 (target 2026-08-31) | 예측 328.4 vs 실제 461.0 | 28.8% 과소예측 | ml_blend | normal | -
2026-06-05 (target 2026-06-05) | 예측 333.9 vs 실제 260.0 | 28.4% 과대예측 | ml_blend | normal | -
2026-01-20 (target 2026-01-20) | 예측 374.1 vs 실제 293.0 | 27.7% 과대예측 | ml_blend | special | 우체국쇼핑할인
2026-02-05 (target 2026-02-05) | 예측 305.6 vs 실제 415.0 | 26.4% 과소예측 | ml_blend | special | 우체국쇼핑할인
2026-04-30 (target 2026-04-30) | 예측 300.2 vs 실제 241.0 | 24.6% 과대예측 | ml_blend | normal | -
2026-09-01 (target 2026-09-01) | 예측 385.8 vs 실제 310.0 | 24.5% 과대예측 | ml_blend | special | 우체국쇼핑할인
2026-05-26 (target 2026-05-26) | 예측 440.6 vs 실제 578.0 | 23.8% 과소예측 | ml_blend | normal | -
2026-03-03 (target 2026-03-03) | 예측 453.2 vs 실제 588.0 | 22.9% 과소예측 | ml_blend | normal | -
2026-01-21 (target 2026-01-21) | 예측 339.2 vs 실제 276.0 | 22.9% 과대예측 | ml_blend | special | 우체국쇼핑할인
2026-08-03 (target 2026-08-03) | 예측 397.8 vs 실제 513.0 | 22.5% 과소예측 | ml_blend | normal | -
2026-06-02 (target 2026-06-02) | 예측 371.8 vs 실제 304.0 | 22.3% 과대예측 | ml_blend | normal | -
2026-07-06 (target 2026-07-06) | 예측 404.5 vs 실제 513.0 | 21.2% 과소예측 | ml_blend | normal | -
2026-01-30 (target 2026-01-30) | 예측 332.8 vs 실제 275.0 | 21.0% 과대예측 | ml_blend | special | 우체국쇼핑할인
2026-01-02 (target 2026-01-02) | 예측 283.7 vs 실제 357.0 | 20.5% 과소예측 | ml_blend | normal | -
2026-03-05 (target 2026-03-05) | 예측 366.0 vs 실제 305.0 | 20.0% 과대예측 | ml_blend | normal | -
2026-02-24 (target 2026-02-24) | 예측 369.1 vs 실제 309.0 | 19.4% 과대예측 | ml_blend | normal | -
2026-06-10 (target 2026-06-10) | 예측 351.6 vs 실제 295.0 | 19.2% 과대예측 | ml_blend | normal | -
2026-03-10 (target 2026-03-10) | 예측 370.2 vs 실제 313.0 | 18.3% 과대예측 | ml_blend | normal | -
2026-03-17 (target 2026-03-17) | 예측 376.6 vs 실제 322.0 | 17.0% 과대예측 | ml_blend | normal | -
2026-02-10 (target 2026-02-10) | 예측 400.9 vs 실제 482.0 | 16.8% 과소예측 | ml_blend | special | 특별소통기간, 우체국쇼핑할인
2026-08-20 (target 2026-08-20) | 예측 262.4 vs 실제 315.0 | 16.7% 과소예측 | ml_blend | normal | -

상위 30건 중 비정상(normal 외) 기간 비율: 36.7%
